--- München --------------------------------------------------------------------

01.08.2017	05:49	20:50
02.08.2017	05:51	20:48
03.08.2017	05:52	20:47
04.08.2017	05:53	20:45
05.08.2017	05:55	20:44
06.08.2017	05:56	20:42
07.08.2017	05:57	20:41
08.08.2017	05:59	20:39
09.08.2017	06:00	20:37
10.08.2017	06:01	20:36
11.08.2017	06:03	20:34
12.08.2017	06:04	20:32
13.08.2017	06:05	20:31
14.08.2017	06:07	20:29
15.08.2017
16.08.2017
17.08.2017	06:11	20:23
18.08.2017	06:12	20:22
19.08.2017	06:14	20:20
20.08.2017	06:15	20:18
21.08.2017	06:16	20:16
22.08.2017	06:18	20:14
23.08.2017	06:19	20:12
24.08.2017	06:20	20:10
25.08.2017	06:22	20:09
26.08.2017	06:23	20:07
27.08.2017	06:25	20:05
28.08.2017	06:26	20:03
29.08.2017	06:27	20:01
30.08.2017	06:29	19:59
31.08.2017	06:30	19:57
01.09.2017	06:31	19:55

--- Nürnberg -------------------------------------------------------------------

01.08.2017	05:47	20:56
02.08.2017	05:48	20:54
03.08.2017	05:50	20:53
04.08.2017	05:51	20:51
05.08.2017	05:53	20:50
06.08.2017	05:54	20:48
07.08.2017	05:55	20:46
08.08.2017	05:57	20:45
09.08.2017	05:58	20:43
10.08.2017	06:00	20:41
11.08.2017	06:01	20:40
12.08.2017	06:02	20:38
13.08.2017	06:04	20:36
14.08.2017	06:05	20:34
15.08.2017
16.08.2017
17.08.2017
18.08.2017	06:11	20:27
19.08.2017	06:13	20:25
20.08.2017	06:14	20:23
21.08.2017	06:16	20:21
22.08.2017	06:17	20:19
23.08.2017	06:18	20:17
24.08.2017	06:20	20:15
25.08.2017	06:21	20:13
26.08.2017	06:23	20:11
27.08.2017	06:24	20:09
28.08.2017	06:26	20:07
29.08.2017	06:27	20:05
30.08.2017	06:29	20:03
31.08.2017	06:30	20:01
01.09.2017	06:32	19:59
