Datum;Sonnenaufgang;Sonnenuntergang;Mittag;Sonnenlicht (Std.);DST;Ort
01.06.2018;05:23:42;21:10:11;13:16:57;15:46:29;Sommerzeit;Immenstadt
02.06.2018;05:23:06;21:11:07;13:17:06;15:48:01;Sommerzeit;Immenstadt
03.06.2018;05:22:32;21:12:00;13:17:16;15:49:28;Sommerzeit;Immenstadt
04.06.2018;05:22:00;21:12:52;13:17:26;15:50:52;Sommerzeit;Immenstadt
05.06.2018;05:21:31;21:13:42;13:17:37;15:52:11;Sommerzeit;Immenstadt
06.06.2018;05:21:04;21:14:30;13:17:47;15:53:26;Sommerzeit;Immenstadt
07.06.2018;05:20:40;21:15:17;13:17:59;15:54:37;Sommerzeit;Immenstadt
08.06.2018;05:20:19;21:16:01;13:18:10;15:55:42;Sommerzeit;Immenstadt
09.06.2018;05:20:00;21:16:43;13:18:22;15:56:43;Sommerzeit;Immenstadt
10.06.2018;05:19:44;21:17:23;13:18:33;15:57:39;Sommerzeit;Immenstadt
11.06.2018;05:19:30;21:18:01;13:18:46;15:58:31;Sommerzeit;Immenstadt
12.06.2018;05:19:19;21:18:37;13:18:58;15:59:18;Sommerzeit;Immenstadt
13.06.2018;05:19:10;21:19:10;13:19:10;16:00:00;Sommerzeit;Immenstadt
14.06.2018;05:19:05;21:19:42;13:19:23;16:00:37;Sommerzeit;Immenstadt
15.06.2018;05:19:01;21:20:10;13:19:36;16:01:09;Sommerzeit;Immenstadt
16.06.2018;05:19:01;21:20:37;13:19:49;16:01:36;Sommerzeit;Immenstadt
17.06.2018;05:19:02;21:21:01;13:20:02;16:01:59;Sommerzeit;Immenstadt
18.06.2018;05:19:07;21:21:23;13:20:15;16:02:16;Sommerzeit;Immenstadt
19.06.2018;05:19:14;21:21:42;13:20:28;16:02:28;Sommerzeit;Immenstadt
20.06.2018;05:19:23;21:21:59;13:20:41;16:02:36;Sommerzeit;Immenstadt
21.06.2018;05:19:35;21:22:13;13:20:54;16:02:38;Sommerzeit;Immenstadt
22.06.2018;05:19:50;21:22:24;13:21:07;16:02:34;Sommerzeit;Immenstadt
23.06.2018;05:20:07;21:22:33;13:21:20;16:02:26;Sommerzeit;Immenstadt
24.06.2018;05:20:26;21:22:40;13:21:33;16:02:14;Sommerzeit;Immenstadt
25.06.2018;05:20:48;21:22:44;13:21:46;16:01:56;Sommerzeit;Immenstadt
26.06.2018;05:21:12;21:22:45;13:21:58;16:01:33;Sommerzeit;Immenstadt
27.06.2018;05:21:38;21:22:44;13:22:11;16:01:06;Sommerzeit;Immenstadt
28.06.2018;05:22:07;21:22:40;13:22:23;16:00:33;Sommerzeit;Immenstadt
29.06.2018;05:22:38;21:22:33;13:22:35;15:59:55;Sommerzeit;Immenstadt
30.06.2018;05:23:11;21:22:24;13:22:47;15:59:13;Sommerzeit;Immenstadt
